,FTA-INV,SA-INV,SS-INV,PSO-INV,GA-INV,FTA-INS,SA-INS,SS-INS,PSO-INS,GA-INS,FTA-SWP,SA-SWP,SS-SWP,PSO-SWP,GA-SWP,APS-FTA-INB,APS-SA-INB,APS-SS-INB,APS-PSO-INB,APS-GA-INB,FTA-ML,SA-ML,SS-ML,PSO-ML,GA-ML,NEH,NEH-B
60_240_1,4.0135,3.7712,4.1838,3.5024,5.0782,4.3480,3.7957,4.4726,3.5864,5.7749,4.3860,3.3791,3.9923,3.6134,5.6133,2.2403,1.5949,2.1584,2.0637,4.0552,3.4928,2.7541,3.1897,3.0310,5.1766,16.7442,5.0437
60_240_2,5.3235,4.9274,5.3325,5.1208,6.9299,5.1117,4.5733,5.8996,4.4364,6.9363,5.6615,4.1860,5.1407,4.8615,7.2565,2.5619,2.2213,2.5377,1.9032,5.4837,4.5107,3.8224,3.6671,4.1252,6.7145,18.0712,6.4468
60_240_3,6.0242,5.7399,6.1306,5.5918,7.0895,6.2576,5.3270,6.1002,4.9870,8.2001,5.5395,5.4058,6.1857,6.0586,7.7251,4.0191,4.3495,4.0271,3.6376,6.2969,5.1602,4.2717,5.3097,4.4709,7.0873,20.2851,7.1144
60_240_4,4.4026,4.0576,4.4794,3.8065,5.6359,5.0311,4.3910,4.8037,4.2395,6.5486,5.0990,4.4335,4.6994,4.6201,5.9298,3.1518,2.5736,3.0983,3.2365,4.7918,4.1814,4.1018,3.9600,3.7252,6.0209,18.0380,5.5864
60_240_5,4.5284,3.9951,4.6075,4.0426,5.6261,4.7566,3.8395,5.0981,3.9970,6.8236,4.8819,4.3651,4.6251,4.3494,6.2037,2.8772,2.2722,2.7200,2.2531,4.2400,4.0129,3.5490,3.6868,3.7585,5.9436,18.4239,5.7695
60_240_6,4.4189,4.4986,4.6529,4.1325,5.7493,4.7063,4.1518,4.6617,3.4831,6.9475,5.0028,4.7510,4.6217,4.4133,6.6104,3.5275,3.5054,3.1764,3.7492,5.3321,4.6040,3.5686,4.2679,3.8808,5.7194,17.5606,5.7822
60_240_7,4.5485,4.3522,4.8835,4.1364,5.7430,4.0311,3.9213,5.0080,3.6090,6.9964,4.9047,4.6563,4.5798,4.2759,6.3721,3.0445,2.5500,3.1682,2.5637,4.5519,4.4439,3.3683,3.9149,3.2874,6.0497,16.2454,5.9007
60_240_8,5.6543,4.7074,5.3587,4.9141,6.5270,5.3208,4.3794,5.9250,5.0818,7.6832,5.6221,5.5542,5.2853,4.8570,7.3219,3.8445,3.4757,3.8875,3.3388,5.4315,5.1212,4.1389,4.8927,4.3816,7.2188,18.1096,7.0528
60_240_9,5.0411,4.8208,5.5368,4.8770,6.6288,5.8123,4.7063,5.5652,4.8436,7.6060,5.4028,5.2210,5.3863,4.8245,7.3056,2.7449,2.3423,2.9213,2.7270,4.9450,4.3315,3.9000,4.3599,3.6794,6.6572,18.3818,5.6577
60_240_10,5.6201,5.1672,5.5821,5.1040,6.7147,5.4445,6.0353,6.0077,4.7571,7.9790,5.6350,5.5354,5.5527,5.2686,7.2591,3.3644,3.2262,3.6957,2.5946,5.7169,5.0636,4.3443,4.6480,4.2560,6.7757,19.1288,6.9817
150_150_1,7.3037,7.2047,7.4606,7.1150,8.4914,8.1069,8.3837,7.9061,7.5885,9.1991,6.4273,5.5608,5.8812,5.8592,7.9446,3.1712,2.5918,2.1811,2.3348,5.0600,4.8467,4.7217,4.4062,4.3881,8.3633,9.3101,4.8263
150_150_2,7.6554,7.4106,7.5696,7.0936,8.6194,7.8871,7.4943,7.7330,7.6662,9.2345,6.7043,5.6380,5.5429,5.9961,8.2819,2.4571,2.3649,1.6366,2.5776,5.1039,4.6236,4.4721,3.7965,4.6471,7.5319,9.7391,4.0583
150_150_3,7.6492,7.1530,7.3043,7.0955,8.5045,8.1310,7.8731,7.8858,7.4194,9.4906,6.3042,6.1844,4.9784,5.3234,7.6484,2.2777,2.7448,1.6154,2.4842,4.4752,5.7640,4.3473,3.5822,3.8159,7.1442,7.7712,3.9338
150_150_4,7.8236,7.9081,7.8305,7.5941,9.0234,8.1931,8.1945,8.1915,7.3011,9.8306,7.2538,6.3602,5.5982,6.0654,7.6985,3.4140,3.1071,2.5313,3.3156,6.0041,5.1108,4.9518,4.3909,4.3745,8.6105,7.6632,5.3600
150_150_5,8.6043,8.2953,8.6134,8.6095,9.7167,8.7819,8.7916,8.6196,8.4691,10.3098,7.6696,6.6860,6.7947,6.1898,9.3603,4.1383,3.6544,3.1067,2.9781,6.8955,5.7455,5.5256,5.3131,5.3873,8.8411,9.3858,6.0415
150_150_6,8.1140,7.7155,7.7524,7.8115,9.2029,8.4411,8.0642,8.1766,8.1475,9.3478,6.3971,6.3332,6.0050,5.3984,9.0997,3.1071,2.5739,2.3253,3.1609,5.4728,5.5665,4.7248,4.9943,5.7894,7.4055,8.9389,4.1526
150_150_7,7.5580,7.2231,7.3564,7.1515,8.3457,7.7159,7.6502,7.3948,7.0640,9.0404,6.1382,5.3669,5.5721,5.1228,8.2919,3.2958,2.7546,2.1152,2.5936,4.7424,5.0228,4.0611,4.0161,4.5926,8.1481,9.6729,4.6430
150_150_8,7.4570,7.1029,7.4562,7.3889,8.4210,7.7980,7.8200,7.6567,7.8705,8.9020,6.3266,5.3844,5.5487,6.2286,8.2195,2.8433,1.9015,1.5909,2.1071,5.4428,4.5762,3.9921,4.1576,4.0854,7.9101,7.0634,4.5058
150_150_9,9.5614,9.0213,9.1521,9.4260,10.6541,9.7497,9.0331,9.6913,9.2921,11.4544,7.9875,8.0388,7.2740,7.1697,10.0601,4.4357,3.9087,3.5115,3.9727,7.3365,6.8066,5.9018,5.6019,6.0406,9.0859,12.8450,6.7149
150_150_10,8.2926,7.8084,8.3320,7.8997,9.3723,8.9483,8.6709,8.4489,7.2982,9.9723,7.4342,7.3050,5.6590,6.3383,9.1012,3.1641,2.6944,2.2860,2.8749,5.4459,5.1204,5.3517,3.7329,4.6251,8.0491,7.0070,6.6309
240_60_1,3.3094,3.3382,3.2127,3.3322,4.1173,4.4799,4.2637,3.9866,3.4443,5.4761,2.7861,2.4528,2.1206,2.7292,3.4922,1.6836,0.9018,0.9745,1.3280,2.1599,2.1498,2.3338,1.7008,1.8229,3.7212,10.9327,1.6936
240_60_2,3.4686,3.3701,3.1296,2.9827,4.1475,4.5829,3.6728,3.6973,3.0044,5.6514,2.0659,2.2971,1.9209,2.0618,3.8109,1.5749,1.4129,1.1066,1.3056,2.6221,2.3589,2.0607,1.9204,1.7122,4.0694,2.1993,2.3093
240_60_3,3.8314,3.6325,3.3686,3.3448,4.1343,4.5388,4.4218,4.1057,3.8789,4.9518,3.1586,3.1723,2.5154,2.8153,3.7601,1.8805,1.6523,1.3171,1.4310,2.4313,2.6428,1.8942,1.7969,2.1825,3.5840,1.3347,1.8040
240_60_4,3.7047,3.7661,3.4037,3.1436,4.2586,4.8300,4.3146,4.2326,4.2651,4.9868,2.7557,2.7404,2.2298,2.1861,3.7496,1.4512,1.3818,0.9689,1.0932,1.9417,2.3124,2.3425,1.8610,1.6495,3.4893,0.8818,2.0923
240_60_5,2.9559,2.6679,2.6920,2.4476,3.5832,3.5265,3.6376,3.3542,3.5872,4.8484,1.9671,2.5647,1.3503,1.5188,2.9289,1.4881,1.2307,1.1709,1.4004,1.9995,1.6783,1.7186,1.4204,1.4408,3.3318,2.2594,1.6773
240_60_6,3.7104,3.5308,3.5478,3.3289,4.3094,4.3353,3.9563,4.0551,3.5610,5.0571,3.0059,2.8326,2.4370,2.4637,3.9723,1.8707,1.5927,1.1981,1.5009,2.4599,3.0089,2.5311,2.0125,2.3052,4.0444,8.6194,2.5498
240_60_7,5.8552,5.3504,5.4130,5.8116,6.7275,6.8838,6.4215,6.4432,5.8317,7.7103,5.2190,4.6525,4.2370,4.2598,5.7058,4.0553,3.8601,3.6437,3.9337,4.7896,4.9105,4.4394,4.2257,4.2509,5.5172,0.0000,4.5362
240_60_8,3.7003,3.4401,3.3704,3.3410,4.1068,4.3723,4.1827,4.0104,3.8419,4.8885,2.7419,2.1803,1.9264,2.3252,3.6432,1.2172,0.8658,0.7963,0.9179,1.6611,1.9541,2.0184,1.4479,1.6901,3.7518,2.6324,1.6109
240_60_9,3.5879,3.4317,3.4214,3.4063,4.2938,4.2199,4.2043,4.0785,4.3010,5.1481,2.7077,2.2778,2.1769,3.0248,3.7782,1.7987,1.3060,1.1456,1.2851,2.2602,2.4558,2.2730,1.7973,1.8507,4.4566,1.3826,2.0422
240_60_10,2.9875,2.7549,2.6345,2.6618,3.7795,4.1308,3.8005,3.2083,3.3433,5.0142,2.3129,2.0588,1.7873,1.8674,2.8913,1.4383,1.2697,1.0236,1.0427,2.2730,2.1055,1.8011,1.4530,1.6664,2.9911,0.0285,1.7681
